drug_a,drug_b,severity,mechanism,note,source
atorvastatin,cyclosporine,major,Inhibition du transport OATP1B1,Contre-indiqué.,manual_seed
rosuvastatin,cyclosporine,major,Inhibition OATP1B1,Contre-indiqué.,manual_seed
digoxin,amiodarone,moderate,Inhibition P-gp + CYP3A4,Réduire la digoxine 50%.,manual_seed
digoxin,verapamil,moderate,Inhibition P-gp,Réduire la digoxine 50%.,manual_seed
digoxin,spironolactone,moderate,Augmentation taux digoxine,Surveiller digoxinémie.,manual_seed
digoxin,clarithromycin,moderate,Inhibition P-gp,Surveillance digoxinémie.,manual_seed
digoxin,furosemide,moderate,Hypokaliémie majore la toxicité digitalique,Surveiller kaliémie et digoxinémie.,manual_seed
lithium,hydrochlorothiazide,major,Diminution clairance rénale Li,Risque toxicité lithique sévère.,manual_seed
lithium,ramipril,moderate,Réduction clairance rénale Li,Dosage lithémie.,manual_seed
lithium,losartan,moderate,Réduction clairance rénale Li,Dosage lithémie.,manual_seed
lithium,ibuprofen,moderate,Réduction clairance rénale Li,Dosage lithémie.,manual_seed
sertraline,tramadol,major,Syndrome sérotoninergique,Éviter. Surveiller si co-prescription obligatoire.,manual_seed
fluoxetine,tramadol,major,Syndrome sérotoninergique + abaissement seuil épileptogène,À éviter.,manual_seed
citalopram,tramadol,major,Syndrome sérotoninergique,À éviter.,manual_seed
sertraline,moclobemide,major,Syndrome sérotoninergique,Contre-indication.,manual_seed
fluoxetine,selegiline,major,Syndrome sérotoninergique,Contre-indication.,manual_seed
sertraline,triptans,moderate,Syndrome sérotoninergique,Association possible avec surveillance.,manual_seed
sertraline,warfarin,moderate,Inhibition plaquettaire ISRS + AVK,Risque hémorragique. Surveillance INR.,manual_seed
citalopram,amiodarone,major,Addition QT long,Contre-indication (citalopram >20mg/j).,manual_seed
citalopram,quinine,major,Addition QT long,Contre-indication.,manual_seed
citalopram,hydroxychloroquine,moderate,Addition QT long,ECG de contrôle.,manual_seed
ramipril,spironolactone,major,Hyperkaliémie,Surveillance stricte kaliémie et fonction rénale.,manual_seed
ramipril,potassium,major,Hyperkaliémie,À éviter sauf indication et surveillance.,manual_seed
ramipril,ibuprofen,moderate,Diminution efficacité anti-HTA + néphrotoxicité,Éviter AINS chronique.,manual_seed
ramipril,furosemide,moderate,Hypotension orthostatique première prise,Espacer initiation.,manual_seed
losartan,spironolactone,major,Hyperkaliémie,Surveillance kaliémie.,manual_seed
losartan,ibuprofen,moderate,Diminution efficacité + néphrotoxicité,Triple whammy si + diurétique.,manual_seed
furosemide,gentamicin,moderate,Ototoxicité additive,Surveillance audition.,manual_seed
furosemide,digoxin,moderate,Hypokaliémie potentialise digitalique,Surveiller kaliémie.,manual_seed
beta_blocker,verapamil,major,Bradycardie et hypotension sévère,À éviter IV ensemble.,manual_seed
beta_blocker,diltiazem,moderate,Bradycardie additive,Surveiller FC et PR.,manual_seed
beta_blocker,insulin,moderate,Masquage des signes d'hypoglycémie,Préférer béta-bloquant cardiosélectif.,manual_seed
atenolol,verapamil,major,Bradycardie,À éviter IV.,manual_seed
sildenafil,nitrates,major,Hypotension sévère,Contre-indication absolue.,manual_seed
sildenafil,tamsulosin,moderate,Hypotension orthostatique,Espacer les prises.,manual_seed
methotrexate,trimethoprim,major,Toxicité hématologique (inhibition DHFR),À éviter. Risque pancytopénie.,manual_seed
methotrexate,cotrimoxazole,major,Toxicité hématologique,À éviter.,manual_seed
allopurinol,azathioprine,major,Inhibition xanthine oxydase + accumulation azathioprine,Réduire azathioprine de 75%.,manual_seed
allopurinol,mercaptopurine,major,Inhibition xanthine oxydase,Réduire la dose.,manual_seed
benzodiazepine,opioid,major,Dépression respiratoire synergique,Éviter. Risque fatal.,manual_seed
diazepam,morphine,major,Dépression respiratoire,Éviter.,manual_seed
alprazolam,oxycodone,major,Dépression respiratoire,Éviter.,manual_seed
tramadol,codeine,moderate,Additif opioïde + saturation CYP2D6,Redondance thérapeutique.,manual_seed
fluoxetine,warfarin,moderate,Inhibition CYP2C9,Surveillance INR.,manual_seed
paroxetine,tamoxifen,major,Inhibition CYP2D6 bloquant activation tamoxifène,Préférer escitalopram/sertraline.,manual_seed
rifampicin,warfarin,major,Induction CYP,Diminution majeure efficacité AVK.,manual_seed
rifampicin,oral_contraceptive,major,Induction CYP,Echec contraception.,manual_seed
phenytoin,warfarin,moderate,Interaction CYP complexe bidirectionnelle,Surveillance INR et phénytoïnémie.,manual_seed
carbamazepine,oral_contraceptive,major,Induction CYP,Echec contraception.,manual_seed
theophylline,ciprofloxacin,major,Inhibition CYP1A2,Risque de toxicité théophylline (convulsions).,manual_seed
theophylline,erythromycin,moderate,Inhibition CYP1A2,Surveillance taux théophylline.,manual_seed
clozapine,ciprofloxacin,major,Inhibition CYP1A2,Surveillance taux clozapine.,manual_seed
metoprolol,paroxetine,moderate,Inhibition CYP2D6,Peut potentialiser le bêta-bloquant.,manual_seed
codeine,paroxetine,moderate,Inhibition CYP2D6 bloquant conversion en morphine,Diminution efficacité antalgique.,manual_seed
colchicine,clarithromycin,major,Inhibition P-gp/CYP3A4,Contre-indiqué chez l'insuffisant rénal.,manual_seed
amiodarone,warfarin,major,Inhibition CYP,Réduire warfarine et surveiller INR.,manual_seed
amiodarone,digoxin,moderate,Inhibition P-gp + CYP3A4,Réduire digoxine 50%.,manual_seed
